provinsi,tahun,jumlah perkapita
NASIONAL,2010,30.48
ACEH,2010,40.49
BALI,2010,23.25
BANTEN,2010,21.5
BENGKULU,2010,23.38
DAERAH ISTIMEWA YOGYAKARTA,2010,9.92
DKI JAKARTA,2010,21.44
GORONTALO,2010,40.66
JAMBI,2010,29.73
JAWA BARAT,2010,19.52
JAWA TENGAH,2010,12.81
JAWA TIMUR,2010,19.01
KALIMANTAN BARAT,2010,28.73
KALIMANTAN SELATAN,2010,39.36
KALIMANTAN TENGAH,2010,44.07
KALIMANTAN TIMUR,2010,36.07
KALIMANTAN UTARA,2010,0.0
KEPULAUAN BANGKA BELITUNG,2010,37.54
KEPULAUAN RIAU,2010,44.33
LAMPUNG,2010,21.65
MALUKU,2010,48.16
MALUKU UTARA,2010,44.86
NUSA TENGGARA BARAT,2010,18.54
NUSA TENGGARA TIMUR,2010,20.06
PAPUA,2010,32.8
PAPUA BARAT,2010,41.29
RIAU,2010,37.19
SULAWESI BARAT,2010,39.07
SULAWESI SELATAN,2010,41.22
SULAWESI TENGAH,2010,37.21
SULAWESI TENGGARA,2010,44.45
SULAWESI UTARA,2010,38.26
SUMATERA BARAT,2010,29.27
SUMATERA SELATAN,2010,29.32
SUMATERA UTARA,2010,33.18
NASIONAL,2011,32.25
ACEH,2011,40.96
BALI,2011,24.4
BANTEN,2011,24.89
BENGKULU,2011,25.52
DAERAH ISTIMEWA YOGYAKARTA,2011,13.6
DKI JAKARTA,2011,25.14
GORONTALO,2011,40.91
JAMBI,2011,31.55
JAWA BARAT,2011,20.79
JAWA TENGAH,2011,15.51
JAWA TIMUR,2011,21.41
KALIMANTAN BARAT,2011,31.53
KALIMANTAN SELATAN,2011,42.69
KALIMANTAN TENGAH,2011,44.36
KALIMANTAN TIMUR,2011,37.99
KALIMANTAN UTARA,2011,0.0
KEPULAUAN BANGKA BELITUNG,2011,38.82
KEPULAUAN RIAU,2011,46.86
LAMPUNG,2011,22.31
MALUKU,2011,48.87
MALUKU UTARA,2011,45.19
NUSA TENGGARA BARAT,2011,26.09
NUSA TENGGARA TIMUR,2011,21.21
PAPUA,2011,33.62
PAPUA BARAT,2011,41.83
RIAU,2011,37.85
SULAWESI BARAT,2011,42.76
SULAWESI SELATAN,2011,42.08
SULAWESI TENGAH,2011,38.35
SULAWESI TENGGARA,2011,46.09
SULAWESI UTARA,2011,41.71
SUMATERA BARAT,2011,29.53
SUMATERA SELATAN,2011,30.42
SUMATERA UTARA,2011,35.54
NASIONAL,2012,33.89
ACEH,2012,41.69
BALI,2012,24.75
BANTEN,2012,28.36
BENGKULU,2012,26.8
DAERAH ISTIMEWA YOGYAKARTA,2012,14.55
DKI JAKARTA,2012,31.31
GORONTALO,2012,43.73
JAMBI,2012,31.94
JAWA BARAT,2012,22.67
JAWA TENGAH,2012,17.71
JAWA TIMUR,2012,23.35
KALIMANTAN BARAT,2012,32.88
KALIMANTAN SELATAN,2012,44.63
KALIMANTAN TENGAH,2012,44.97
KALIMANTAN TIMUR,2012,39.18
KALIMANTAN UTARA,2012,0.0
KEPULAUAN BANGKA BELITUNG,2012,45.75
KEPULAUAN RIAU,2012,46.96
LAMPUNG,2012,24.41
MALUKU,2012,49.86
MALUKU UTARA,2012,46.37
NUSA TENGGARA BARAT,2012,28.67
NUSA TENGGARA TIMUR,2012,23.16
PAPUA,2012,34.58
PAPUA BARAT,2012,42.73
RIAU,2012,38.04
SULAWESI BARAT,2012,44.76
SULAWESI SELATAN,2012,41.77
SULAWESI TENGAH,2012,40.25
SULAWESI TENGGARA,2012,47.51
SULAWESI UTARA,2012,43.08
SUMATERA BARAT,2012,31.18
SUMATERA SELATAN,2012,35.31
SUMATERA UTARA,2012,35.59
NASIONAL,2013,35.21
ACEH,2013,43.34
BALI,2013,28.66
BANTEN,2013,28.06
BENGKULU,2013,30.7
DAERAH ISTIMEWA YOGYAKARTA,2013,21.71
DKI JAKARTA,2013,31.32
GORONTALO,2013,46.83
JAMBI,2013,32.76
JAWA BARAT,2013,22.51
JAWA TENGAH,2013,18.19
JAWA TIMUR,2013,25.09
KALIMANTAN BARAT,2013,34.75
KALIMANTAN SELATAN,2013,45.35
KALIMANTAN TENGAH,2013,45.89
KALIMANTAN TIMUR,2013,40.75
KALIMANTAN UTARA,2013,0.0
KEPULAUAN BANGKA BELITUNG,2013,45.87
KEPULAUAN RIAU,2013,49.26
LAMPUNG,2013,25.11
MALUKU,2013,53.95
